Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Wheat bread wholemeal fortified w vit D and fibre Vollerkoren,per 100g,3,"10,6",231,"0,1","0,06","0,098",0,"1,5","0,2",0.0,0.0,33.0,2,68.0,204.0,236.0,420.0,"1,44",Bread
Pasta w fibre Honig raw,per 100g,"1,5",11,336,"0,1","0,06","0,08",0,0,0,0.0,0.0,15.0,2,53.0,125.0,100.0,10.0,"1,5",Bread
Stock portion prepared,per 100g,"0,1","0,3",6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,57.0,342.0,0,Drop
Multigrain bread brown w seeds fortified w iron and vitamins Vikorn Vitaminebrood,per 100g,"5,5","11,4",265,"0,2","0,3","0,095","0,5","1,6","0,1",0.0,0.0,46.0,"3,5",52.0,158.0,192.0,424.0,"1,18",Bread
Multigrain bread brown w seeds fortified w iron and vitamins Vikorn Volvezel,per 100g,"5,8","11,1",268,"0,2","0,3","0,095","0,5","1,6","0,1",0.0,0.0,46.0,"3,3",52.0,158.0,192.0,431.0,"1,18",Bread
Anchovy raw,per 100g,"4,8","20,4",125,"0,06","0,26","0,143","0,62",11,"0,6",0.0,15.0,147.0,"3,3",41.0,174.0,383.0,104.0,"1,72",Meat
Bulgur wheat cooked,per 100g,"0,2","3,1",80,"0,06","0,03","0,083",0,0,0,0.0,0.0,10.0,1,32.0,40.0,68.0,5.0,"0,57",Bread
Yogurt drink Ayran Turkish,per 100g,"1,6","2,3",33,"0,01","0,1","0,017","0,13",0,0,0.0,18.0,88.0,0,8.0,66.0,95.0,141.0,"0,3",Dairy
Manti stuffed pasta cooked Turkish,per 100g,"2,2","7,4",145,"0,03","0,04","0,044","0,31",0,"0,1",0.0,12.0,16.0,"0,7",20.0,91.0,102.0,10.0,"1,25",Drop
Beef salted dried seasoned Pastirma Turkish,per 100g,3,30,155,"0,05","0,15","0,385","1,86","0,3","0,3",1.0,7.0,5.0,2,26.0,225.0,410.0,1800.0,"3,47",Meat
Minced beef from butcher raw,per 100g,"10,9",20,180,"0,03","0,13","0,32","1,95","0,5","0,5",9.0,13.0,8.0,"2,2",20.0,173.0,332.0,149.0,"4,76",Meat
Noodles boiled,per 100g,"0,2","1,8",103,"0,02",0,"0,006",0,0,0,0.0,0.0,4.0,"0,1",3.0,20.0,4.0,19.0,"0,25",Bread
Hummus natural,per 100g,"25,8","7,7",320,"0,07","0,04","0,107",0,0,"3,5",2.0,2.0,29.0,2,62.0,116.0,130.0,476.0,"1,17",Drop
Wheat bread wholemeal fine w seeds,per 100g,"7,3","12,3",273,"0,23","0,08","0,145",0,0,"1,7",0.0,0.0,44.0,"2,5",103.0,276.0,287.0,350.0,"2,11",Bread
Wheat bread wholemeal fine w sunflower seeds,per 100g,"8,6","11,7",282,"0,28","0,08","0,241",0,0,"4,7",0.0,0.0,38.0,"2,3",103.0,256.0,282.0,353.0,"1,91",Bread
Wheat bread wholemeal coarse w seeds,per 100g,"7,5","12,6",275,"0,24","0,08","0,154",0,0,"1,7",0.0,0.0,47.0,"2,5",100.0,270.0,351.0,350.0,"2,06",Bread
Wheat bread wholemeal coarse w sunflower seeds,per 100g,"8,9","12,1",284,"0,29","0,08","0,25",0,0,"4,7",0.0,0.0,41.0,"2,3",100.0,249.0,346.0,353.0,"1,85",Bread
Wheat bread wholemeal coarse w pumpkin seeds,per 100g,"7,8","13,6",276,"0,12","0,08","0,115",0,0,"0,2",0.0,0.0,37.0,"2,7",120.0,307.0,353.0,347.0,"2,16",Bread
Beer white,per 100g,0,"0,5",47,0,"0,03","0,055","0,03",0,0,0.0,0.0,3.0,0,8.0,28.0,54.0,3.0,"0,03",Drop
Vodka,per 100g,0,0,234,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5.0,1.0,1.0,0,Drop
Peas split green boiled,per 100g,"1,2","7,9",122,"0,26","0,06","0,014",0,0,"0,3",0.0,11.0,18.0,"2,5",39.0,134.0,329.0,2.0,"1,02",Vegetables
Fruit juice drink apple nectar,per 100g,0,0,37,0,0,"0,011",0,0,0,0.0,0.0,6.0,"0,1",3.0,4.0,50.0,8.0,"0,01",Drop
Kiwi fruit yellow,per 100g,"0,3",1,66,0,"0,07","0,08",0,0,"1,4",135.0,2.0,17.0,"0,2",12.0,25.0,315.0,3.0,"0,08",Fruits
Asparagus green raw,per 100g,"0,1",3,28,"0,27","0,25","0,09",0,0,"1,2",24.0,13.0,24.0,1,12.0,65.0,278.0,2.0,"0,8",Vegetables
Olives ripe in brine tinned/glass,per 100g,14,"0,9",162,0,0,"0,009",0,0,2,1.0,40.0,58.0,"3,3",70.0,10.0,8.0,904.0,"0,13",Fruits
Pesto red,per 100g,35,5,368,"0,09","0,12","0,129","0,12",0,"14,2",11.0,115.0,101.0,"1,4",35.0,116.0,652.0,930.0,"0,82",Drop
Sausage grill chicken,per 100g,15,"13,8",209,"0,04","0,07","0,379","0,2","0,3","1,2",0.0,45.0,13.0,"0,8",21.0,162.0,259.0,965.0,"1,37",Meat
Vegetables for stir-frying Dutch cooked,per 100g,"0,3","1,6",26,"0,04","0,04","0,107",0,0,"1,3",29.0,345.0,31.0,"0,5",12.0,45.0,259.0,10.0,"0,29",Vegetables
